tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
cheronica is hot why lie https://t.co/kAR7kTcd1D,True,en,1,0,2021-02-27 17:34:02,1365716836675850242,"['cheronica', 'hot', 'lie']",cheronica hot lie
@tiedu2me OMGGG CHERONICA !!,False,en,0,0,2021-02-27 17:32:26,1365716435725615104,"['omggg', 'cheronica']",omggg cheronica
RT @choniswitches2: I’ll leave the fandom. my nerves i can take but ive had deep rooted beef with cheronica for YEARS!!!!! WHEN I SAY THAT…,True,en,0,1,2021-02-27 17:24:39,1365714477707051013,"['leave', 'fandom', 'nerves', 'take', 'ive', 'deep', 'rooted', 'beef', 'cheronica', 'years', 'say']",leave fandom nerves take ive deep rooted beef cheronica years say
I’ll leave the fandom. my nerves i can take but ive had deep rooted beef with cheronica for YEARS!!!!! WHEN I SAY THAT SHIP CAN CHOKE!!!!! https://t.co/SHM19gBgPy,True,en,16,1,2021-02-27 17:22:24,1365713910637207553,"['leave', 'fandom', 'nerves', 'take', 'ive', 'deep', 'rooted', 'beef', 'cheronica', 'years', 'say', 'ship', 'choke']",leave fandom nerves take ive deep rooted beef cheronica years say ship choke
waiting for my cheronica scenes https://t.co/Bzt09YbATG,False,en,0,0,2021-02-27 09:06:59,1365589233386229762,"['waiting', 'cheronica', 'scenes']",waiting cheronica scenes
@beronicq @oliviabakcr then why does it make sense that i like braley since i'm a cheronica??? you the one not adding up https://t.co/5p2MKmIaZp,False,en,0,0,2021-02-27 03:18:03,1365501423820156929,"['make', 'sense', 'like', 'braley', 'since', 'cheronica', 'one', 'adding']",make sense like braley since cheronica one adding
@beronicq @oliviabakcr you hate cheronica so you hate braley?,False,en,0,0,2021-02-27 03:15:43,1365500833652215817,"['hate', 'cheronica', 'hate', 'braley']",hate cheronica hate braley
"RT @Everybody_Sings: dear writers,

first one is Cheronica, second one is trash. Please don't mix it up ❤️ https://t.co/mX9OrbZvwv",False,en,0,1,2021-02-27 00:17:44,1365456045443809285,"['dear', 'writers', 'first', 'one', 'cheronica', 'second', 'one', 'trash', 'please', 'mix']",dear writers first one cheronica second one trash please mix
when cheronica get paired up first at the key party and I get my small crumbs before choni get back together.......,False,en,4,0,2021-02-26 22:03:47,1365422334870388737,"['cheronica', 'get', 'paired', 'first', 'key', 'party', 'get', 'small', 'crumbs', 'choni', 'get', 'back', 'together']",cheronica get paired first key party get small crumbs choni get back together
i’ll get stabbed for this but cheronica pls rise https://t.co/a7nFC6AioI,True,en,0,0,2021-02-26 17:49:38,1365358373831663617,"['get', 'stabbed', 'cheronica', 'pls', 'rise']",get stabbed cheronica pls rise
my theory veronica is going to open that jewely store with cheryl bc cheryl is needing money so they will work in that business together and fall in love and finially cheronica is going to happen ;) have a good day,False,en,0,0,2021-02-26 17:35:03,1365354703534624769,"['theory', 'veronica', 'going', 'open', 'jewely', 'store', 'cheryl', 'bc', 'cheryl', 'needing', 'money', 'work', 'business', 'together', 'fall', 'love', 'finially', 'cheronica', 'going', 'happen', 'good', 'day']",theory veronica going open jewely store cheryl bc cheryl needing money work business together fall love finially cheronica going happen good day
if you don't like Cheronica look away cause idgaf 😃,False,en,0,0,2021-02-25 21:14:18,1365047493550104583,"['like', 'cheronica', 'look', 'away', 'cause', 'idgaf']",like cheronica look away cause idgaf
"dear writers,

first one is Cheronica, second one is trash. Please don't mix it up ❤️ https://t.co/mX9OrbZvwv",False,en,4,1,2021-02-25 21:12:34,1365047057841590280,"['dear', 'writers', 'first', 'one', 'cheronica', 'second', 'one', 'trash', 'please', 'mix']",dear writers first one cheronica second one trash please mix
@cappuchoni maybe it’s for the best that the writers don’t know the other cheronica exists,False,en,2,0,2021-02-25 17:28:32,1364990679039045632,"['maybe', 'best', 'writers', 'know', 'cheronica', 'exists']",maybe best writers know cheronica exists
I'm making a cheronica prom scene and I'm lovin' it. https://t.co/0DxxFFxSZZ,False,en,18,0,2021-02-25 10:54:34,1364891530645942274,"['making', 'cheronica', 'prom', 'scene', 'lovin']",making cheronica prom scene lovin
i’m counting on cheronica one on one scenes to bring me back to riverdale,False,en,5,0,2021-02-25 10:11:00,1364880567670562816,"['counting', 'cheronica', 'one', 'one', 'scenes', 'bring', 'back', 'riverdale']",counting cheronica one one scenes bring back riverdale
if I can’t have cheronica I WANT THEM!!,False,en,1,0,2021-02-25 01:39:41,1364751890974531584,"['cheronica', 'want']",cheronica want
i just realized he’s using “cheronica” as in chad and veronica 😕 https://t.co/9U6FYpdhWk https://t.co/mj7kbWQfps,True,en,15,0,2021-02-25 00:14:40,1364730497398497281,"['realized', 'using', 'cheronica', 'chad', 'veronica']",realized using cheronica chad veronica
@RiverdaleWriter Don’t get me wrong I luv VARCHIE but I’m kinda liking CHERONICA rn,False,en,5,0,2021-02-25 00:07:47,1364728766237409290,"['get', 'wrong', 'luv', 'varchie', 'kinda', 'liking', 'cheronica', 'rn']",get wrong luv varchie kinda liking cheronica rn
@stefsarch NO FUCK THAT CHERONICA IS VERONICA AND CHERYLS IDC,False,en,1,0,2021-02-24 23:44:26,1364722889262387205,"['fuck', 'cheronica', 'veronica', 'cheryls', 'idc']",fuck cheronica veronica cheryls idc
wait i’m so stupid i thought cheryl and veronica were having scenes not cheronica being chad and veronica’s ship name,False,en,5,0,2021-02-24 23:32:36,1364719911847800833,"['wait', 'stupid', 'thought', 'cheryl', 'veronica', 'scenes', 'cheronica', 'chad', 'veronica', 'ship', 'name']",wait stupid thought cheryl veronica scenes cheronica chad veronica ship name
CHERONICA IS ALREADY TAKEN AND WHY SHOULD CHAD EVEN BE INCLUDED IN A SHIP NAME?’b HES SICKENING,False,en,3,0,2021-02-24 23:31:34,1364719650974683144,"['cheronica', 'already', 'taken', 'chad', 'even', 'included', 'ship', 'name', 'b', 'hes', 'sickening']",cheronica already taken chad even included ship name b hes sickening
is cheronica the ship name for chad and veronica🧍🏻‍♀️ https://t.co/oiqXtooXQJ,False,en,6,0,2021-02-24 23:24:48,1364717948120813568,"['cheronica', 'ship', 'name', 'chad', 'veronica']",cheronica ship name chad veronica
@jchnnysbqrchie CHERONICA IS ALREADY TAKEN?!?,False,en,0,0,2021-02-24 23:19:19,1364716566642884613,"['cheronica', 'already', 'taken']",cheronica already taken
NOW WHYD HE TAG CHERONICA???? https://t.co/D5Nq3flDkJ,False,en,42,0,2021-02-24 23:19:13,1364716543238672387,"['whyd', 'tag', 'cheronica']",whyd tag cheronica
@POVPAREKH same i don’t watch anymore but i thought cheronica was gonna be a thing,False,en,1,0,2021-02-24 20:06:18,1364667991472889858,"['watch', 'anymore', 'thought', 'cheronica', 'gonna', 'thing']",watch anymore thought cheronica gonna thing
@POVPAREKH literally like i used to be a lowkey cheronica before choni,False,en,1,0,2021-02-24 19:17:27,1364655697535897604,"['literally', 'like', 'used', 'lowkey', 'cheronica', 'choni']",literally like used lowkey cheronica choni
"The way all of Veronica’s ship names are superior... Jeronica, SweetVee, TabithaRonnie, Beronica, Varchie, Cheronica, Lopaz, Veggie, Vangs, etc 😌😌😌",False,en,15,0,2021-02-23 06:28:38,1364099834546847754,"['way', 'veronica', 'ship', 'names', 'superior', 'jeronica', 'sweetvee', 'tabitharonnie', 'beronica', 'varchie', 'cheronica', 'lopaz', 'veggie', 'vangs', 'etc']",way veronica ship names superior jeronica sweetvee tabitharonnie beronica varchie cheronica lopaz veggie vangs etc
"RT @deIenasx: 🏆#RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

https://t.co/LtcMKlSWod

#varchie #bughead #choni #beronica #archosie…",False,en,0,4,2021-02-23 02:46:14,1364043865339084806,"['riverdale', 'best', 'ship', 'vote', 'ur', 'faves', 'varchie', 'bughead', 'choni', 'beronica', 'archosie']",riverdale best ship vote ur faves varchie bughead choni beronica archosie
"RT @deIenasx: 🏆#RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

https://t.co/9YgxiJZcCx

#varchie #bughead #choni #beronica #archosie…",True,en,0,1,2021-02-23 02:17:57,1364036747089297408,"['riverdale', 'best', 'ship', 'vote', 'ur', 'faves', 'varchie', 'bughead', 'choni', 'beronica', 'archosie']",riverdale best ship vote ur faves varchie bughead choni beronica archosie
