tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
"RT @chonigif: the roles have been reversed 👀
[2x16 - 5x07] #riverdale #choni @VanessaMorgan @madelainepetsch https://t.co/0YiSaS3YUH",False,en,0,55,2021-02-27 05:07:08,1365528872494727173,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['roles', 'reversed', '2x16', '5x07', 'riverdale', 'choni']",roles reversed 2x16 5x07 riverdale choni
RT @BarchieUpdates: Rachel Talalay directed the episode? And I’m getting both Barchie and Choni on march 17??? AAAAAAA https://t.co/eq3rO8F…,False,en,0,30,2021-02-27 04:58:47,1365526773782302722,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['rachel', 'talalay', 'directed', 'episode', 'getting', 'barchie', 'choni', 'march', '17', 'aaaaaaa']",rachel talalay directed episode getting barchie choni march 17 aaaaaaa
Stop. Shipping. Cheryl. With. Men. She. Is. A. Lesbian. https://t.co/XlVGAywHlm,False,en,5,1,2021-02-27 04:57:21,1365526410257907713,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}","['stop', 'shipping', 'cheryl', 'men', 'lesbian']",stop shipping cheryl men lesbian
RT @chonistyles: CHONI ARE THE MAIN STORYLINE FOR 5X08 https://t.co/BniRoAmhOD,False,en,0,36,2021-02-27 04:55:52,1365526040425205762,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['choni', 'main', 'storyline', '5x08']",choni main storyline 5x08
RT @tcpazs: barchie and choni besties,True,en,0,3,2021-02-27 04:40:44,1365522231158333440,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['barchie', 'choni', 'besties']",barchie choni besties
I’m gonna build choni a cute city apartment in the sims I think,False,en,0,0,2021-02-27 04:28:20,1365519111401443329,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4588}","['gonna', 'build', 'choni', 'cute', 'city', 'apartment', 'sims', 'think']",gonna build choni cute city apartment sims think
if choni don’t end up together by the end of this season i’ll riot,False,en,1,0,2021-02-27 04:25:35,1365518417755844611,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.5574}","['choni', 'end', 'together', 'end', 'season', 'riot']",choni end together end season riot
RT @tonistopazz: when riverdale pulls a glee and has choni &amp; kangs have a joint wedding 🤩🤩🤩🤩,False,en,0,3,2021-02-27 04:25:01,1365518276273582080,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6369}","['riverdale', 'pulls', 'glee', 'choni', 'amp', 'kangs', 'joint', 'wedding']",riverdale pulls glee choni amp kangs joint wedding
@choni_wayhaught Didn’t she film ahead?,False,en,0,0,2021-02-27 04:17:36,1365516406645796866,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['film', 'ahead']",film ahead
"RT @vancssamorgan: you don’t understand i NEED choni to do this 
https://t.co/TjzauF2KnN",False,en,0,7,2021-02-27 04:16:24,1365516106559971328,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['understand', 'need', 'choni']",understand need choni
RT @fran_topaz: I keep saying I want a rain kiss. But if we actually get one? I WON’T KNOW HOW TO ACT. CHONI TWITTER WILL CRASH,False,en,0,7,2021-02-27 04:10:03,1365514510191054851,"{'neg': 0.129, 'neu': 0.716, 'pos': 0.155, 'compound': -0.0857}","['keep', 'saying', 'want', 'rain', 'kiss', 'actually', 'get', 'one', 'know', 'act', 'choni', 'twitter', 'crash']",keep saying want rain kiss actually get one know act choni twitter crash
RT @toniblossoms: A CHONI CENTRIC EPISODE WINNING https://t.co/SFbl2kQCgy,False,en,0,8,2021-02-27 04:08:35,1365514140345798656,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.6289}","['choni', 'centric', 'episode', 'winning']",choni centric episode winning
RT @tcpazs: choni rain kiss 🌧,False,en,0,1,2021-02-27 04:01:47,1365512426402107395,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}","['choni', 'rain', 'kiss']",choni rain kiss
Cheryl and Minerva endgame!!! — Choni endgame sorry  https://t.co/GaVP8OSZ02,False,en,1,0,2021-02-27 03:58:35,1365511622513618944,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.2905}","['cheryl', 'minerva', 'endgame', 'choni', 'endgame', 'sorry']",cheryl minerva endgame choni endgame sorry
RT @topazgotjuice: i don’t even know who this is but it is very beautiful... choni when? https://t.co/0NcnXAR6n4,False,en,0,17,2021-02-27 03:57:21,1365511314462953475,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['even', 'know', 'beautiful', 'choni']",even know beautiful choni
RT @chonistyles: ANYWAYS MADELAINE AND VANESSA ARE THE CAPTAINS OF THE CHONI SHIP AND WOULD FIGHT FOR THEM https://t.co/JRE3TdRo3T,False,en,0,25,2021-02-27 03:57:14,1365511281579589634,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.0, 'compound': -0.516}","['anyways', 'madelaine', 'vanessa', 'captains', 'choni', 'ship', 'would', 'fight']",anyways madelaine vanessa captains choni ship would fight
choni rain kiss 🌧,False,en,14,1,2021-02-27 03:56:24,1365511073936248837,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}","['choni', 'rain', 'kiss']",choni rain kiss
"RT @jnkcottriII: ""i'm pretty.. somewhat, i'm famous.. as fuck"" -billie eilish
BITCH YOU'RE THE PRETTIEST HUMAN EVER 😭😭😭",False,en,0,178,2021-02-27 03:17:18,1365501234908721154,"{'neg': 0.292, 'neu': 0.546, 'pos': 0.161, 'compound': -0.5574}","['pretty', 'somewhat', 'famous', 'fuck', 'billie', 'eilish', 'bitch', 'prettiest', 'human', 'ever']",pretty somewhat famous fuck billie eilish bitch prettiest human ever
