tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
RT @softfalice: melissa and joey moments that radiate falice energy — a thread 🌼 https://t.co/XTVx1SndMk,False,en,0,5,2021-02-27 05:47:04,1365538924492320773,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}","['melissa', 'joey', 'moments', 'radiate', 'falice', 'energy', 'thread']",melissa joey moments radiate falice energy thread
"@mishacollins
 lets sue the Riverdale writers and give a barchie , falice , choni endgame",False,en,0,0,2021-02-27 05:31:58,1365535122942910464,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['lets', 'sue', 'riverdale', 'writers', 'give', 'barchie', 'falice', 'choni', 'endgame']",lets sue riverdale writers give barchie falice choni endgame
"@mishacollins lets sue the Riverdale writers and give a barchie , falice , chino endgame",False,en,0,0,2021-02-27 05:31:41,1365535050641547265,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['lets', 'sue', 'riverdale', 'writers', 'give', 'barchie', 'falice', 'chino', 'endgame']",lets sue riverdale writers give barchie falice chino endgame
"The pinky TEASE, I miss season 2 falice https://t.co/U33yKgO7gl",True,en,4,0,2021-02-27 04:10:05,1365514517325742082,"{'neg': 0.481, 'neu': 0.519, 'pos': 0.0, 'compound': -0.5622}","['pinky', 'tease', 'miss', 'season', '2', 'falice']",pinky tease miss season 2 falice
RT @amicksbabe: I want fp’s letter @RiverdaleWriter,False,en,0,5,2021-02-27 03:58:02,1365511482591567874,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.0772}","['want', 'fp', 'letter']",want fp letter
hey besties vote barchie pambrose nabrina rozharvey the only archieverse ships that matter !!! choni and falice can have some love too but barchiepambrose!!!!! https://t.co/SIBU040o0F,True,en,1,0,2021-02-27 01:50:52,1365479480081448962,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.5883}","['hey', 'besties', 'vote', 'barchie', 'pambrose', 'nabrina', 'rozharvey', 'archieverse', 'ships', 'matter', 'choni', 'falice', 'love', 'barchiepambrose']",hey besties vote barchie pambrose nabrina rozharvey archieverse ships matter choni falice love barchiepambrose
"RT @barchanted: I will be voting for Barchie, Choni, and Falice. Who's with me? 😇",True,en,0,1,2021-02-27 01:31:43,1365474662868779012,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['voting', 'barchie', 'choni', 'falice']",voting barchie choni falice
"I will be voting for Barchie, Choni, and Falice. Who's with me? 😇 https://t.co/0k9pxUUjWA",True,en,9,1,2021-02-27 00:04:24,1365452687177777152,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['voting', 'barchie', 'choni', 'falice']",voting barchie choni falice
@CW_Riverdale The question is where are the falice deleted scenes????,False,en,0,0,2021-02-26 22:21:54,1365426893424635922,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['question', 'falice', 'deleted', 'scenes']",question falice deleted scenes
@CW_Riverdale where are the falice deleted scenes? that is the real question,False,en,6,0,2021-02-26 21:12:30,1365409429357694978,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['falice', 'deleted', 'scenes', 'real', 'question']",falice deleted scenes real question
