tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
"Bughead was never meant to be a main couple on the show.” 

Again, yes they literally were. RAS had Bughead in mind before the show even started, but BAs don’t even bother doing their research before saying anything. They always embarrass themselves. https://t.co/u8XIDocU5q",False,en,0,0,2021-03-03 00:56:53,1366915446918828033,"{'neg': 0.126, 'neu': 0.834, 'pos': 0.04, 'compound': -0.6187}"
(especially on bughead day) HELP,False,en,0,0,2021-03-03 00:56:50,1366915433287217152,"{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.5319}"
her little smile after it END OF DISCUSSION BUGHEAD ENDGAME https://t.co/Iol4Gx4Wts,False,en,3,0,2021-03-03 00:54:58,1366914965056192515,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.2975}"
RT @lovemesometopaz: if you still think bughead was always supposed to be a main couple and take over the show and lili and cole’s relation…,False,en,0,97,2021-03-03 00:54:34,1366914865089101832,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @BugheadGif: four years ago today, jughead jones climbed through betty cooper's window and kissed her for the first time.

happy #bughea…",False,en,0,74,2021-03-03 00:54:13,1366914777289744384,"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.743}"
RT @mitchelsdemhawk: hating on bughead and varchie is not the serve yall think it is,False,en,0,2,2021-03-03 00:45:22,1366912550407983112,"{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.5106}"
RT @bugheadaIe: saying bughead was never supposed to be a main couple (especially on bughead day) won’t change 5 seasons of canon and just…,False,en,0,31,2021-03-03 00:43:18,1366912029840318466,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RAS is a huge Bughead, he has taste.",False,en,1,0,2021-03-03 00:42:19,1366911780702875651,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}"
"RT @BugheadUpdates: 4 years ago today, Jughead climbed up to Betty's window and they had their first kiss.

Happy #Bughead day! #Riverdale…",False,en,0,153,2021-03-03 00:41:24,1366911550875926531,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.7777}"
"RT @BamSmackPow: On this day we celebrate one of Riverdale’s endgame couples. 🥰

Happy Bughead Day! 😘 https://t.co/WG2Ym8X4Ey",False,en,0,14,2021-03-03 00:38:30,1366910822807658496,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.8268}"
@CW_Riverdale  #Bughead are so good man ! @lilireinhart  &amp; @colesprouse  chemistry is excellent and natural! #BUGHEADENDGAME https://t.co/lF5VPSHmBK,False,en,0,0,2021-03-03 00:38:15,1366910759817662467,"{'neg': 0.0, 'neu': 0.553, 'pos': 0.447, 'compound': 0.8892}"
"RT @BudhooJohn: @MTVAwards It's their day but anything with bughead, varchie and choni.#Riverdale https://t.co/bZt3AjOcye",False,en,0,1,2021-03-03 00:34:26,1366909798697074691,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@BamSmackPow OMG happy bughead day for you too bestie,False,en,1,0,2021-03-03 00:33:58,1366909682607153153,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.5719}"
RT @ColeSprouseidol: 4 years ago wao 😍❤️ #Bughead #Riverdale https://t.co/y6bvRMtdKN,False,en,0,1,2021-03-03 00:33:57,1366909676303114244,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @httpreinhart: Happy #Bughead day https://t.co/aX55xYjZ8P,False,en,0,3,2021-03-03 00:33:52,1366909653817393155,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}"
"RT @selinascavone: in my bughead depression right now😄
#Riverdale #bughead https://t.co/2gluuL1TwL",False,en,0,0,2021-03-03 00:32:58,1366909427392126985,"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.5719}"
"if bughead not endgame, why roberto? https://t.co/ctlK8Qv9Zh",False,en,8,0,2021-03-03 00:32:57,1366909423872958464,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @Southside_Jug: “I’m here for you. Always.” #Riverdale #bughead https://t.co/v0maq7rdGN,False,en,0,2,2021-03-03 00:31:43,1366909113163264006,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @reinhartshines: 4 years ago today #bughead was born
#riverdale https://t.co/72hP2uizIX",False,en,0,2,2021-03-03 00:30:47,1366908880878469123,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
