tweets,quote_status,language,favorite_count,retweet_count,time,id
cheronica is hot why lie https://t.co/kAR7kTcd1D,True,en,1,0,2021-02-27 17:34:02,1365716836675850242
@tiedu2me OMGGG CHERONICA !!,False,en,0,0,2021-02-27 17:32:26,1365716435725615104
RT @choniswitches2: I’ll leave the fandom. my nerves i can take but ive had deep rooted beef with cheronica for YEARS!!!!! WHEN I SAY THAT…,True,en,0,1,2021-02-27 17:24:39,1365714477707051013
I’ll leave the fandom. my nerves i can take but ive had deep rooted beef with cheronica for YEARS!!!!! WHEN I SAY THAT SHIP CAN CHOKE!!!!! https://t.co/SHM19gBgPy,True,en,16,1,2021-02-27 17:22:24,1365713910637207553
waiting for my cheronica scenes https://t.co/Bzt09YbATG,False,en,0,0,2021-02-27 09:06:59,1365589233386229762
@beronicq @oliviabakcr then why does it make sense that i like braley since i'm a cheronica??? you the one not adding up https://t.co/5p2MKmIaZp,False,en,0,0,2021-02-27 03:18:03,1365501423820156929
@beronicq @oliviabakcr you hate cheronica so you hate braley?,False,en,0,0,2021-02-27 03:15:43,1365500833652215817
"RT @Everybody_Sings: dear writers,

first one is Cheronica, second one is trash. Please don't mix it up ❤️ https://t.co/mX9OrbZvwv",False,en,0,1,2021-02-27 00:17:44,1365456045443809285
when cheronica get paired up first at the key party and I get my small crumbs before choni get back together.......,False,en,4,0,2021-02-26 22:03:47,1365422334870388737
i’ll get stabbed for this but cheronica pls rise https://t.co/a7nFC6AioI,True,en,0,0,2021-02-26 17:49:38,1365358373831663617
my theory veronica is going to open that jewely store with cheryl bc cheryl is needing money so they will work in that business together and fall in love and finially cheronica is going to happen ;) have a good day,False,en,0,0,2021-02-26 17:35:03,1365354703534624769
if you don't like Cheronica look away cause idgaf 😃,False,en,0,0,2021-02-25 21:14:18,1365047493550104583
"dear writers,

first one is Cheronica, second one is trash. Please don't mix it up ❤️ https://t.co/mX9OrbZvwv",False,en,4,1,2021-02-25 21:12:34,1365047057841590280
@cappuchoni maybe it’s for the best that the writers don’t know the other cheronica exists,False,en,2,0,2021-02-25 17:28:32,1364990679039045632
I'm making a cheronica prom scene and I'm lovin' it. https://t.co/0DxxFFxSZZ,False,en,18,0,2021-02-25 10:54:34,1364891530645942274
i’m counting on cheronica one on one scenes to bring me back to riverdale,False,en,5,0,2021-02-25 10:11:00,1364880567670562816
if I can’t have cheronica I WANT THEM!!,False,en,1,0,2021-02-25 01:39:41,1364751890974531584
i just realized he’s using “cheronica” as in chad and veronica 😕 https://t.co/9U6FYpdhWk https://t.co/mj7kbWQfps,True,en,15,0,2021-02-25 00:14:40,1364730497398497281
@RiverdaleWriter Don’t get me wrong I luv VARCHIE but I’m kinda liking CHERONICA rn,False,en,5,0,2021-02-25 00:07:47,1364728766237409290
@stefsarch NO FUCK THAT CHERONICA IS VERONICA AND CHERYLS IDC,False,en,1,0,2021-02-24 23:44:26,1364722889262387205
wait i’m so stupid i thought cheryl and veronica were having scenes not cheronica being chad and veronica’s ship name,False,en,5,0,2021-02-24 23:32:36,1364719911847800833
CHERONICA IS ALREADY TAKEN AND WHY SHOULD CHAD EVEN BE INCLUDED IN A SHIP NAME?’b HES SICKENING,False,en,3,0,2021-02-24 23:31:34,1364719650974683144
is cheronica the ship name for chad and veronica🧍🏻‍♀️ https://t.co/oiqXtooXQJ,False,en,6,0,2021-02-24 23:24:48,1364717948120813568
@jchnnysbqrchie CHERONICA IS ALREADY TAKEN?!?,False,en,0,0,2021-02-24 23:19:19,1364716566642884613
NOW WHYD HE TAG CHERONICA???? https://t.co/D5Nq3flDkJ,False,en,42,0,2021-02-24 23:19:13,1364716543238672387
@POVPAREKH same i don’t watch anymore but i thought cheronica was gonna be a thing,False,en,1,0,2021-02-24 20:06:18,1364667991472889858
@POVPAREKH literally like i used to be a lowkey cheronica before choni,False,en,1,0,2021-02-24 19:17:27,1364655697535897604
"The way all of Veronica’s ship names are superior... Jeronica, SweetVee, TabithaRonnie, Beronica, Varchie, Cheronica, Lopaz, Veggie, Vangs, etc 😌😌😌",False,en,15,0,2021-02-23 06:28:38,1364099834546847754
"RT @deIenasx: 🏆#RIVERDALE BEST SHIP 🏆
          vote for ur faves 🥰

https://t.co/LtcMKlSWod

#varchie #bughead #choni #beronica #archosie…",False,en,0,4,2021-02-23 02:46:14,1364043865339084806
