tweets,quote_status,language,favorite_count,retweet_count,time,id
RT @softfalice: melissa and joey moments that radiate falice energy — a thread 🌼 https://t.co/XTVx1SndMk,False,en,0,5,2021-02-27 05:47:04,1365538924492320773
"@mishacollins
 lets sue the Riverdale writers and give a barchie , falice , choni endgame",False,en,0,0,2021-02-27 05:31:58,1365535122942910464
"@mishacollins lets sue the Riverdale writers and give a barchie , falice , chino endgame",False,en,0,0,2021-02-27 05:31:41,1365535050641547265
"The pinky TEASE, I miss season 2 falice https://t.co/U33yKgO7gl",True,en,4,0,2021-02-27 04:10:05,1365514517325742082
RT @amicksbabe: I want fp’s letter @RiverdaleWriter,False,en,0,5,2021-02-27 03:58:02,1365511482591567874
hey besties vote barchie pambrose nabrina rozharvey the only archieverse ships that matter !!! choni and falice can have some love too but barchiepambrose!!!!! https://t.co/SIBU040o0F,True,en,1,0,2021-02-27 01:50:52,1365479480081448962
"RT @barchanted: I will be voting for Barchie, Choni, and Falice. Who's with me? 😇",True,en,0,1,2021-02-27 01:31:43,1365474662868779012
"I will be voting for Barchie, Choni, and Falice. Who's with me? 😇 https://t.co/0k9pxUUjWA",True,en,9,1,2021-02-27 00:04:24,1365452687177777152
@CW_Riverdale The question is where are the falice deleted scenes????,False,en,0,0,2021-02-26 22:21:54,1365426893424635922
@CW_Riverdale where are the falice deleted scenes? that is the real question,False,en,6,0,2021-02-26 21:12:30,1365409429357694978
@CW_Riverdale more importantly where was the falice letter? where are the falice deleted scenes?,False,en,8,0,2021-02-26 21:10:52,1365409016244039683
@CW_Riverdale The real question is where is Falice deleted scene 🥺,False,en,15,0,2021-02-26 21:05:18,1365407616206336001
"RT @karyv_mp: And in 12 years time, will we smile when we think about us?

Our timing is a mess but that don’t mean that it means less and…",False,en,0,2,2021-02-26 20:36:05,1365400264518287360
I want young falice back for s5 🤯🥵  https://t.co/WXYuMbGz8A,False,en,12,1,2021-02-26 20:34:47,1365399934959296514
RT @softfalice: falice hooking up in pop’s? canon if you ask me! we already know she loved him in that uniform https://t.co/W8dqvsNSeT,False,en,0,1,2021-02-26 19:57:51,1365390641207869440
"@PamelaMills27 i do!!! they are my fav ship after falice, i love them so so so much",False,en,1,0,2021-02-26 19:55:46,1365390118643728390
how both meljoe and falice are when it comes to sex. teasing? always off the charts. “I was driving!” is taking me out https://t.co/YymYJA9l10,False,en,4,0,2021-02-26 19:22:11,1365381668496941063
THIS IS FALICE! HELLO?! alice admitting that she is wrong must be rare https://t.co/PlOeiuM3yL,False,en,4,0,2021-02-26 19:22:04,1365381636959985664
