tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
RT @softfalice: melissa and joey moments that radiate falice energy — a thread 🌼 https://t.co/XTVx1SndMk,False,en,0,5,2021-02-27 05:47:04,1365538924492320773,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}"
"@mishacollins
 lets sue the Riverdale writers and give a barchie , falice , choni endgame",False,en,0,0,2021-02-27 05:31:58,1365535122942910464,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@mishacollins lets sue the Riverdale writers and give a barchie , falice , chino endgame",False,en,0,0,2021-02-27 05:31:41,1365535050641547265,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"The pinky TEASE, I miss season 2 falice https://t.co/U33yKgO7gl",True,en,4,0,2021-02-27 04:10:05,1365514517325742082,"{'neg': 0.481, 'neu': 0.519, 'pos': 0.0, 'compound': -0.5622}"
RT @amicksbabe: I want fp’s letter @RiverdaleWriter,False,en,0,5,2021-02-27 03:58:02,1365511482591567874,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.0772}"
hey besties vote barchie pambrose nabrina rozharvey the only archieverse ships that matter !!! choni and falice can have some love too but barchiepambrose!!!!! https://t.co/SIBU040o0F,True,en,1,0,2021-02-27 01:50:52,1365479480081448962,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.5883}"
"RT @barchanted: I will be voting for Barchie, Choni, and Falice. Who's with me? 😇",True,en,0,1,2021-02-27 01:31:43,1365474662868779012,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"I will be voting for Barchie, Choni, and Falice. Who's with me? 😇 https://t.co/0k9pxUUjWA",True,en,9,1,2021-02-27 00:04:24,1365452687177777152,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@CW_Riverdale The question is where are the falice deleted scenes????,False,en,0,0,2021-02-26 22:21:54,1365426893424635922,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@CW_Riverdale where are the falice deleted scenes? that is the real question,False,en,6,0,2021-02-26 21:12:30,1365409429357694978,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@CW_Riverdale more importantly where was the falice letter? where are the falice deleted scenes?,False,en,8,0,2021-02-26 21:10:52,1365409016244039683,"{'neg': 0.0, 'neu': 0.815, 'pos': 0.185, 'compound': 0.4503}"
@CW_Riverdale The real question is where is Falice deleted scene 🥺,False,en,15,0,2021-02-26 21:05:18,1365407616206336001,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @karyv_mp: And in 12 years time, will we smile when we think about us?

Our timing is a mess but that don’t mean that it means less and…",False,en,0,2,2021-02-26 20:36:05,1365400264518287360,"{'neg': 0.059, 'neu': 0.881, 'pos': 0.059, 'compound': 0.0}"
I want young falice back for s5 🤯🥵  https://t.co/WXYuMbGz8A,False,en,12,1,2021-02-26 20:34:47,1365399934959296514,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.0772}"
RT @softfalice: falice hooking up in pop’s? canon if you ask me! we already know she loved him in that uniform https://t.co/W8dqvsNSeT,False,en,0,1,2021-02-26 19:57:51,1365390641207869440,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.636}"
"@PamelaMills27 i do!!! they are my fav ship after falice, i love them so so so much",False,en,1,0,2021-02-26 19:55:46,1365390118643728390,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.8433}"
how both meljoe and falice are when it comes to sex. teasing? always off the charts. “I was driving!” is taking me out https://t.co/YymYJA9l10,False,en,4,0,2021-02-26 19:22:11,1365381668496941063,"{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.1511}"
THIS IS FALICE! HELLO?! alice admitting that she is wrong must be rare https://t.co/PlOeiuM3yL,False,en,4,0,2021-02-26 19:22:04,1365381636959985664,"{'neg': 0.221, 'neu': 0.779, 'pos': 0.0, 'compound': -0.5696}"
falice hooking up in pop’s? canon if you ask me! we already know she loved him in that uniform https://t.co/W8dqvsNSeT,False,en,6,1,2021-02-26 19:21:29,1365381488880025602,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.636}"
melissa and joey moments that radiate falice energy — a thread 🌼 https://t.co/XTVx1SndMk,False,en,30,5,2021-02-26 19:21:24,1365381467828867072,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}"
@molina_yaneisy i’m posting it in a bit when it rendered its not a falice fancam tho,False,en,1,0,2021-02-26 18:34:32,1365369675626987524,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
So I’m missing them...😢💔 @madchenamick  #falice #faliceforever #faliceedit #fpjones #alicesmith #instagram #TikTok https://t.co/7oXAH8Nwze,False,en,1,0,2021-02-26 17:50:26,1365358575825154050,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.3566}"
"RT @CWRiverdaleNew: We have something to tell you: we miss #Falice, we loved posted about them. ❤️",False,en,0,25,2021-02-26 17:19:15,1365350727992958977,"{'neg': 0.078, 'neu': 0.732, 'pos': 0.19, 'compound': 0.5106}"
"And in 12 years time, will we smile when we think about us?

Our timing is a mess but that don’t mean that it means less and if we have to say goodbye ‘cause is for the best, what are we gonna do with all this love? #Falice

 https://t.co/9w0mf3hDyc",False,en,14,2,2021-02-26 17:03:35,1365346787469352961,"{'neg': 0.029, 'neu': 0.725, 'pos': 0.246, 'compound': 0.9447}"
@falicesushi Falice,False,en,0,0,2021-02-26 14:47:29,1365312537869377536,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @molina_yaneisy: #FALICE to #SKÄDCHEN x streets x wild though https://t.co/Djs4dKgJQv,False,en,0,1,2021-02-26 14:39:51,1365310616068648968,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
#FALICE to #SKÄDCHEN x streets x wild though https://t.co/Djs4dKgJQv,False,en,13,1,2021-02-26 14:37:30,1365310023128272905,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@HindRain Have you published this yet? Or still in the process of writing before pubshiling? I’m always looking for new falice fivs to read 💜,False,en,0,0,2021-02-26 03:00:46,1365134684221542400,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @molina_yaneisy: #FALICE : do you wanna know https://t.co/iWNBbp5qK2,False,en,0,2,2021-02-25 23:59:49,1365089148848267265,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Anyone got the falice thread?? I can’t find it,False,en,2,0,2021-02-25 23:30:06,1365081667434594304,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
I became done with B*ghead as soon as the stans were rude to Falice stans in s2,False,en,0,0,2021-02-25 23:26:09,1365080672986157060,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4588}"
RT @medicaldoctxr: Me after watching the falice kiss scene for the millionth time https://t.co/tsJJQyylNl,False,en,0,4,2021-02-25 23:16:21,1365078209759498243,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}"
