tweets,quote_status,language,favorite_count,retweet_count,time,id,neg,neu,pos,compound
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-04 02:45:06,1367305070258253826,0.0,0.828,0.172,0.5461
"RT @enigmaticjuliet: Agent Elizabeth Cooper — 

↳ literate &amp; descriptive portrayal of elizabeth”Betty” cooper. time jump based. 18+. mature…",False,en,0,44,2021-03-04 02:39:24,1367303634980069378,0.0,1.0,0.0,0.0
I love this Riverdale time jump,False,en,0,0,2021-03-04 02:29:14,1367301078174347270,0.0,0.488,0.512,0.6369
"Riverdale time jump: 'm not feelin it.
Riverdale: Aliens https://t.co/hx15d23n5Z",False,en,0,0,2021-03-04 02:15:52,1367297712199237635,0.0,1.0,0.0,0.0
"RT @PainterBlossom: 🍒Cheryl Blossom🍒

Literate &amp; Descriptive. Canon portrayal of Cheryl Blossom. Pre &amp; Post Time Jump. Mains &amp; storylines.…",False,en,0,11,2021-03-04 01:48:39,1367290863815184384,0.0,1.0,0.0,0.0
"RT @Sgtarchieandrew: Sgt Archie Andrews 
-18+ rp friendly only please no hate and drama 
-Single ship only 
-looking for mains 
- Cheryl Ve…",False,en,0,10,2021-03-04 00:15:44,1367267480150798342,0.201,0.612,0.187,-0.1027
@CW_Riverdale No episode tonight? Couldn’t you guys do this during the time jump instead ? Lmao,False,en,1,0,2021-03-03 23:19:47,1367253401210396684,0.113,0.668,0.219,0.4696
my favorite thing about watching riverdale has always been listening to the podcasts ab the eps after but ever since the time jump they just stress me out bc i can’t stand hearing any type of barchie slander. so what do i do now...,False,en,36,0,2021-03-03 20:51:38,1367216114808291337,0.081,0.875,0.044,-0.4019
I’m down for this new time jump on Riverdale @CW_Riverdale,False,en,0,0,2021-03-03 20:20:06,1367208181198430209,0.0,1.0,0.0,0.0
give me 58 minutes to process the fact that “riverdale” had a seven-year time jump and veronica says the current year is 2021 but i’m pretty sure they’ve said the current irl year in earlier seasons which means the time jump is uhhh fuckin uhhhhhhhh UHHHHH,False,en,1,0,2021-03-03 07:46:12,1367018457578037249,0.0,0.856,0.144,0.8047
"In April, the rumors started about their breakup. In August, cole confirmed that on his instagram. In early season 5 after the time jump, bughead was also broke up. Coincidence? #Riverdale #bughead #sprousehart #colesprouse #lilireinhart https://t.co/TPQC2OGAEm",False,en,0,0,2021-03-03 05:56:47,1366990918813802498,0.076,0.924,0.0,-0.4215
/ not me simping over my og ship for time jump riverdale 👀,False,en,4,0,2021-03-03 05:02:51,1366977348944486405,0.0,1.0,0.0,0.0
Don’t get me wrong I’m glad the Toni is getting more character development and screen time but they should’ve done this from the jump especially with Josie and the pussycats #Riverdale,False,en,0,0,2021-03-03 04:35:23,1366970435275997184,0.062,0.877,0.061,-0.0129
It’s funny bc in the riverdale time jump they go from my little sister’s age to my age,False,en,1,0,2021-03-03 04:30:49,1366969284744863745,0.0,0.854,0.146,0.4404
@CW_Riverdale Enjoying the time jump!!!💙,False,en,0,0,2021-03-03 03:42:20,1366957085292920836,0.0,0.483,0.517,0.6458
I’m like certain if the writers went back to va/bh in season 5 the show would get cancelled after season 6 and I know the writers probably know that seeing how riverdale was losing viewers until the time jump so whether barchie is endgame or not (I hope so) they ain’t going away,False,en,1,0,2021-03-02 23:53:51,1366899585398894592,0.124,0.795,0.081,-0.3412
I haven‘t been totally satisfied with Barchie scenes post time jump. My favourite scenes so far consist of Archie‘s smile when Betty talked about her and Kev wanting to see his abs and the car scene. #Barchie #Riverdale #RiverdaleSeason5,False,en,1,0,2021-03-02 23:33:45,1366894525147459590,0.0,0.866,0.134,0.6801
"Remember that time in Riverdale when there was a six year time jump and Polly got kidnapped by the Mothman?

#Riverdale",False,en,1,0,2021-03-02 23:02:45,1366886725805436928,0.0,1.0,0.0,0.0
