tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
RT @RiverdaleRefer1: They way he looks at her. #jeronica #riverdale https://t.co/kmrpIfhwvf,False,en,0,7,2021-03-03 00:27:19,1366908008517619712,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @LaBella_Aria: I love the bickering between Cami and Cole! On screen or off these 2 are great together #jeronica #Riverdale #vughead htt…,False,en,0,2,2021-03-03 00:27:05,1366907947293552642,"{'neg': 0.0, 'neu': 0.689, 'pos': 0.311, 'compound': 0.8622}"
"RT @shereeniha: As much as I like Varchie, I adore the idea of Vughead (or is it Jeronica?) more. And hoping that plot twist will actually…",False,en,0,2,2021-03-03 00:24:29,1366907294412374017,"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.8473}"
@slowburnsftw I was just thinking this! “I’ve known for awhile” or when them hook up comes to light he actually saw something of Bettys or her leave As house while coming home or literally anything like that 🙌🏻 Game for jeronica to be on board the Barchie train,False,en,7,0,2021-03-02 17:16:56,1366799696329646083,"{'neg': 0.024, 'neu': 0.919, 'pos': 0.057, 'compound': 0.3802}"
"Jeronica is cursed, I don’t ship anymore https://t.co/WOOMRDOqLA",False,en,3,0,2021-03-02 16:40:12,1366790453044129792,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
i’ve been a varchie jeronica and a jarchie and this is like if all that morphed into one single edit,False,en,0,0,2021-03-02 16:38:34,1366790040672739330,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.3612}"
Ohh I realized that post was by a jeronica fanpage 😭,False,en,3,0,2021-03-02 16:18:27,1366784978483372032,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
veronica and jughead future yale classmates? come on jeronica endgame,False,en,1,0,2021-03-02 15:03:38,1366766149954916354,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@rtalalay omg, Jeronica please😭😭😭 https://t.co/iRqkv4RToZ",False,en,0,0,2021-03-02 14:27:47,1366757130095767556,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @veronicacelias: The world if Jeronica gets TWO one on one scenes this season https://t.co/uBYJX5df6p,False,en,0,7,2021-03-02 12:27:58,1366726974991958019,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
