tweets,quote_status,language,favorite_count,retweet_count,time,id
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,556,2021-02-27 04:39:18,1365521868258697223
"RT @TheWyrmQueen: Toni Topaz 

-Riverdale rp
-Literate/Descriptive
-Mature themes
-Post time jump
-Ship with Chemistry 
-21+

#riverdalerp…",False,en,0,35,2021-02-27 04:30:32,1365519661350191104
"RT @BusinessOfLodge: Veronica Lodge 

literate/descriptive. canon portrayal of veronica lodge. pre and time jump. seeking mains &amp; storyline…",False,en,0,8,2021-02-27 04:23:01,1365517770352435200
will I understand Riverdale new season if I only watched season 1 👀 ( I just like the time jump idea),False,en,4,0,2021-02-27 03:07:59,1365498890372456449
"@Twirl4meK @slowburnsftw ""Seven years later..."" Lol. A teen drama or a regular show would get past it... let alone Riverdale doing a time jump, they really thought this would be fully unsolvable 7 years later?",False,en,0,0,2021-02-27 02:22:22,1365487408897265666
(1/2) I wish time jump betty was a bad girl like young Alice.After being kidnapped she wouldn't wanna show other people her weekness than she'd hide behind sass and insulting other people just the avoid the truth.#Riverdale https://t.co/TGYOHJpKOL,False,en,1,0,2021-02-27 02:09:21,1365484132621570058
"RT @VARCHIEWHORE: riverdale                           the notebook

their relationship is kinda similar we‘ll see how Veronica and Hermione…",False,en,0,2,2021-02-27 01:51:30,1365479641058836483
"The 7 year time jump on #Riverdale allows the show to be what it always wanted to be. It was always kind of absurd how often the teens were acting like adults before: solving crimes, running businesses, etc. Now they ARE adults and it makes a little more sense. Just a little. 🤏",False,en,1,0,2021-02-27 01:22:54,1365472442702061572
Post time jump Riverdale has been my fav! They are doing what they should have since season 2!!!!#Riverdale #RiverdaleSeason5 #Kangs #Choni https://t.co/pKSyQ9ePoP,True,en,4,0,2021-02-27 00:53:32,1365465054125039618
RT @BugheadUpdates: Time jump Jughead 👀 #Riverdale https://t.co/VTT1zer5Dp,False,en,0,33,2021-02-26 23:41:49,1365447004848013316
"Veronica Lodge 

literate/descriptive. canon portrayal of veronica lodge. pre and time jump. seeking mains &amp; storylines. ships w/ chem. riverdale fandom. rt’s appreciated. https://t.co/LYm43d70Up",False,en,8,8,2021-02-26 22:13:36,1365424806573731840
@micmezle I don't watch but I saw this article a few days ago lol (maybe due to the cast's real ages) https://t.co/B8oaWaBV1p,False,en,0,0,2021-02-26 22:12:13,1365424455065853955
RT @bettscoops: time jump betty is so &lt;3 https://t.co/FiDzYeaWQn,False,en,0,28,2021-02-26 20:57:22,1365405620313092096
"RT @lexcanroar: my sister is trying to explain time jump Riverdale to me and just said, and I quote, ""do you remember the Ghoulies? they we…",False,en,0,5,2021-02-26 19:10:45,1365378790084538370
"RT @SerpentQueenTT: Toni Topaz 

-Riverdale rp
-Literate/Descriptive
-Mature themes
-Post time jump
-Ship with Chemistry 
-21+

#riverdaler…",False,en,0,35,2021-02-26 19:03:41,1365377011007574020
"Toni Topaz 

-Riverdale rp
-Literate/Descriptive
-Mature themes
-Post time jump
-Ship with Chemistry 
-21+

#riverdalerp 

↻/♡ 
- https://t.co/jvmO0amZNJ",False,en,43,35,2021-02-26 18:42:35,1365371699148038147
can someone explain the riverdale time jump if theyre in 2021 after the time jump when the hell did they graduate,False,en,0,0,2021-02-26 18:23:10,1365366812725157893
"RT @OfSunshineFlowr: ○○○○ Isabelle Elisa ○○○○

○ Riverdale OC
  ○ Daughter Of Alice &amp; FP
○ 70's Enthusiast
  ○ Model Turned FBI Agent
○ Pre…",False,en,0,10,2021-02-26 18:21:14,1365366327431561216
RT @SurvivedShows: Roberto Aguirre-Sacasa teases the upcoming developments for Toni and Cheryl after the time jump! #Riverdale #RiverdaleSe…,False,en,0,1,2021-02-26 18:13:06,1365364278992199686
"RT @enigmaticjuliet: Agent Elizabeth Cooper — 

↳ literate &amp; descriptive portrayal of elizabeth”Betty” cooper. time jump based. 18+. mature…",False,en,0,36,2021-02-26 17:52:40,1365359137824116742
"WATCH: Riverdale Time Jump - ""Hiram Lodge""! https://t.co/uFrCWMm1vh 

@MarkConsuelos #riverdale #varchie https://t.co/6Mc0EmukmG",False,en,1,0,2021-02-26 17:47:14,1365357773198946304
"RT @venereumadlicio: ˏˋ     𝑯𝑨𝑽𝑬 𝑻𝑯𝑬 𝑳𝑨𝑴𝑩𝑺           𝑺𝑻𝑶𝑷𝑷𝑬𝑫 𝑺𝑪𝑹𝑬𝑨𝑴𝑰𝑵𝑮?   ࿐ 

                      ༄

au portrayal of riverdale’s elizabet…",False,en,0,39,2021-02-26 17:42:50,1365356662911995906
"I'd given up on Riverdale but just tried it again there in case it got better after the time-jump.

Nope. It's just so, so stupid. How do the actors not die of embarrassment.",False,en,0,0,2021-02-26 17:39:25,1365355805323780114
"I cannot believe how mature Riverdale got after this time jump. For the love of God, I pray these writers don't screw it up",False,en,0,0,2021-02-26 17:35:26,1365354800670507009
"@a_strandale @ArchieComics @camilamendes We haven't even got a CAOS crossover and that actually shares an universe with Riverdale

Also like...they can't insert Riverdale into the 80s anymore
(Actually no they can since somehow it's still 2021 after the time jump, so the timeline doesn't matter)",False,en,4,0,2021-02-26 17:08:45,1365348087527600130
"Cheryl Blossom has been pretty quiet in the post-time-jump #Riverdale era. This week, we got our first glimpse into what she's been up to. | via @TheMollyTurner
https://t.co/89ecmnJKau",False,en,3,0,2021-02-26 16:21:00,1365336069034676227
"RT @madchenamick: In honor of tonight’s seven-year time jump episode, here is last weeks BTS as jellybean, FP and the serpents ride off int…",False,en,0,159,2021-02-26 14:53:52,1365314142337454084
@Ls2393710611 @CW_Riverdale Um you calling me a freak is childish and I was just saying there was a 7 year time jump and there grownups they no better then u atleast so like I said get over it and stop acting childish,False,en,0,0,2021-02-26 14:14:55,1365304339569520651
"RT @tvpromosdb: Riverdale Season 5 ""Hiram's Time Jump"" Featurette (HD) https://t.co/raXWgomIxR",False,en,0,3,2021-02-26 13:56:56,1365299815198953473
"The core four of Riverdale were born in 2001, they graduated from highschool in 2019 / 2020, then there is the time jump that’s seven years into the future, and is of course set in 2021, when they are twenty five, of course, considering they were born in 2001.",False,en,2,0,2021-02-26 11:53:47,1365268823549636609
@BrianEPaterson Yes Season 1 and now the Time jump!! 🤩🤩 #Riverdale,False,en,1,0,2021-02-26 10:21:27,1365245584496615426
"@a_wculver Yesmm, I think the time jump is bringing more Riverdale fans back. And I'm finding this incredible, but as you said they are just like friends with benefits, but I meant it would be interesting they have a conversation about your feelings. I would find it interesting",False,en,1,0,2021-02-26 10:12:43,1365243389189488641
Roberto Aguirre-Sacasa teases the upcoming developments for Toni and Cheryl after the time jump! #Riverdale #RiverdaleSeason5 #Choni #news https://t.co/259oAtcHPZ,False,en,1,1,2021-02-26 10:00:59,1365240435418034176
@MayFor3ver There is bad writing like with Riverdale (although the time jump made it SOOOOOOO MUCH BETTER) and then there's this,False,en,0,0,2021-02-26 07:35:04,1365203714341031936
Riverdale really stepped it up for this time jump. It’s a whole different show.,False,en,0,0,2021-02-26 07:19:08,1365199702912811008
I hope we're going to see more of Cheryl's story. The first three episodes after the time jump have been great! #Riverdale @madelainepetsch,False,en,0,0,2021-02-26 06:55:06,1365193658270502918
Okay riverdale time jump let’s try and be “normal” shall we?,False,en,0,0,2021-02-26 06:34:36,1365188498752303107
"I need to discuss the post- time jump #Riverdale situation. @djrogge, where you at?",False,en,0,0,2021-02-26 06:11:06,1365182584259547138
Idk how I feel about the 7 year time jump on Riverdale,False,en,0,0,2021-02-26 05:38:04,1365174270976872455
i actually think time jump riverdale is very good i hope it lasts,False,en,4,0,2021-02-26 05:15:53,1365168685975965700
