tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
"I ship Jughead and Tabitha.

What would that make it? Tughead? Jugitha? 😂😂",False,en,1,0,2021-02-26 02:44:33,1365130602274504711,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @karyv_mp: @mgom_lp Tughead...wait no, that was Toni and Jughead...mmm Jughita? JonesTate? Tabhead? 😂😂😂🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️",False,en,0,1,2021-02-25 21:48:28,1365056093261619202,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.4098}"
"@mgom_lp Tughead...wait no, that was Toni and Jughead...mmm Jughita? JonesTate? Tabhead? 😂😂😂🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️",False,en,1,1,2021-02-25 21:47:49,1365055928198922244,"{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.4098}"
they’re setting tabithajones up just like they set tughead up. they’re gonna hook up then remain besties!,False,en,1,0,2021-02-25 08:58:18,1364862271298695169,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4199}"
"RT @Barchie18love: My thoughts.

#barchie #riverdale #tughead https://t.co/ILzqn3faYH",False,en,0,50,2021-02-25 04:19:25,1364792091604381696,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@rihdayaa i hope it sticks and not tughead,False,en,3,0,2021-02-25 03:38:33,1364781803488374784,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}"
"@Recap_Rewind @CW_Riverdale Loved it. #Riverdale has finally found the balance between school-based plots (with ALL the characters, not just the Core 4) and random weirdness/murders.
MVP: Toni; Cheryl for tossing Archie out (dick move, Andrews); Veronica
Best Moments: Whyte Wyrm karaoke, Tughead at Pop’s",False,en,3,0,2021-02-25 03:15:02,1364775885476405249,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.8442}"
@RiverdaleDark Surely the correct term would be Tughead?,False,en,2,0,2021-02-25 02:05:55,1364758494235271168,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
RT @msprousexz: tughead means home🤲💕 https://t.co/Iinq3dxFfx,False,en,0,1,2021-02-25 01:25:37,1364748352286507010,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
tughead means home🤲💕 https://t.co/Iinq3dxFfx,False,en,4,1,2021-02-25 01:24:04,1364747962555973636,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@Paublossom1 @lilireinhart People say their ship name is tabhead cuz tughead is Toni and jug,False,en,0,0,2021-02-24 10:37:53,1364524947205476352,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @jugsdick: YALL FUCKING REALISE SHIPPING BERONICA JARCHIE AND TUGHEAD IS COMPLETELY DIFFERENT TO SHIPPING CHUGHEAD CHERYL IS A CANON LES…,False,en,0,4,2021-02-23 20:21:12,1364309353038282753,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"those two homophobic bh shippers on insta need to understand that ppl shipping Beronica, jarchie, and Tughead are not the same as ppl shipping Cheryl who is a canon lesbian with men.",False,en,6,0,2021-02-23 19:24:52,1364295176332713991,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
YALL FUCKING REALISE SHIPPING BERONICA JARCHIE AND TUGHEAD IS COMPLETELY DIFFERENT TO SHIPPING CHUGHEAD CHERYL IS A CANON LESBIAN DONT SHIP HER WITH MEN OR ELSE ILL HARD BLOCK YOU LESPHOBES,False,en,13,4,2021-02-23 19:18:33,1364293587387756545,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.7269}"
@Barchie18love I agree with the Tughead! I thought the same thing when I watched this episode!,False,en,1,0,2021-02-22 04:58:01,1363714639033470977,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.4738}"
"I swear if they do make Tughead a thing.. 🤦🏻‍♀️ Jughead doesn't need a love interest right now, he needs to work through all his trauma first. Also, it makes me sad bc they'll do it to cause more angst for bughead and more drama for their future relationship.",False,en,1,0,2021-02-20 19:43:01,1363212582157484035,"{'neg': 0.24, 'neu': 0.76, 'pos': 0.0, 'compound': -0.899}"
"@BUGGIEDALE I think I just made it up, a lot of people are calling them tughead, but that’s toni and Jughead so I went with Jabitha",False,en,27,0,2021-02-20 19:17:00,1363206036866400258,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@antibughead it would ruin my bamon/tughead agenda,False,en,0,0,2021-02-20 16:20:15,1363161554728927240,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.5859}"
"@lilireinhart Hey lili! Do you ship barchie? Please answr😺I don't ship them but I ship bughead, tughead (that girl on pops in 5 season i don't remember his name), varchie, vughead, choni and kangs",False,en,2,0,2021-02-20 14:34:41,1363134986421952512,"{'neg': 0.0, 'neu': 0.939, 'pos': 0.061, 'compound': 0.2363}"
@beronicq TUGHEAD,False,en,0,0,2021-02-20 05:45:55,1363001918151393280,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
