tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
"RT @bettyandarchie4: If you are worried about barchie only being set up because they are gonna do varchie exes to lovers , read this!! http…",False,en,0,1,2021-02-27 05:19:52,1365532079258222592,"{'neg': 0.078, 'neu': 0.781, 'pos': 0.141, 'compound': 0.4184}"
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,557,2021-02-27 05:07:56,1365529076820307969,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.5461}"
"RT @vcrchies: COME BACK TO ME, VARCHIE. YOUR STORY ISNT OVER YET. https://t.co/LRyowgNrnJ",False,en,0,4,2021-02-27 04:37:46,1365521485029326849,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"I'm rewatching some #bughead scenes and I'm kinda very soft for it??? Ugh now I genuinely can't pick which ship I prefer

Actually, I think I'd be happy with either barchie or bughead. I guess is all I really don't want is for it to end with only varchie, which I'm not down for",False,en,0,0,2021-02-27 04:37:29,1365521413990453248,"{'neg': 0.089, 'neu': 0.843, 'pos': 0.068, 'compound': 0.2358}"
RT @winchesterbitxh: barchie has more chemistry in 2 episodes than varchie had in 5 seasons,False,en,0,44,2021-02-27 04:18:10,1365516550984376320,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @barchiesdreams: just a little thread of how you shouldn’t worry about varchie or bughead &lt;3,False,en,0,15,2021-02-27 04:14:57,1365515740988596225,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4404}"
RT @speaksza: varchie’s emotional connection equates to those talks with the counselor in elementary school whenever you started crying in…,False,en,0,13,2021-02-27 03:51:46,1365509905814347778,"{'neg': 0.137, 'neu': 0.793, 'pos': 0.07, 'compound': -0.3612}"
RT @veronnicslodge: maybe varchie captain mary andrews could be veronica's divorce lawyer 😌,False,en,0,6,2021-02-27 03:50:49,1365509668789919748,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @mybarchie: one more thing, when barchie gets in a confirmed relationship THEN we can start comparing and contrasting to varchie and bug…",False,en,0,9,2021-02-27 03:46:50,1365508664140914695,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @RiverdaleDark: #Barchie is rising but maybe so is... #Varchie? We recap everything from the latest episode of #Riverdale on our podcast…,False,en,0,2,2021-02-27 03:38:04,1365506461128929281,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
