tweets,quote_status,language,favorite_count,retweet_count,time,id,neg,neu,pos,compound
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-04 02:45:06,1367305070258253826,0.0,0.828,0.172,0.5461
"RT @enigmaticjuliet: Agent Elizabeth Cooper — 

↳ literate &amp; descriptive portrayal of elizabeth”Betty” cooper. time jump based. 18+. mature…",False,en,0,44,2021-03-04 02:39:24,1367303634980069378,0.0,1.0,0.0,0.0
I love this Riverdale time jump,False,en,0,0,2021-03-04 02:29:14,1367301078174347270,0.0,0.488,0.512,0.6369
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-04 02:23:12,1367299556896047107,0.0,0.828,0.172,0.5461
"Riverdale time jump: 'm not feelin it.
Riverdale: Aliens https://t.co/hx15d23n5Z",False,en,0,0,2021-03-04 02:15:52,1367297712199237635,0.0,1.0,0.0,0.0
"RT @PainterBlossom: 🍒Cheryl Blossom🍒

Literate &amp; Descriptive. Canon portrayal of Cheryl Blossom. Pre &amp; Post Time Jump. Mains &amp; storylines.…",False,en,0,11,2021-03-04 01:48:39,1367290863815184384,0.0,1.0,0.0,0.0
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-04 01:31:38,1367286581351096323,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-04 01:08:52,1367280851764002816,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-04 00:59:51,1367278581227921408,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-04 00:23:28,1367269426660216832,0.0,0.828,0.172,0.5461
"RT @Sgtarchieandrew: Sgt Archie Andrews 
-18+ rp friendly only please no hate and drama 
-Single ship only 
-looking for mains 
- Cheryl Ve…",False,en,0,10,2021-03-04 00:15:44,1367267480150798342,0.201,0.612,0.187,-0.1027
@CW_Riverdale No episode tonight? Couldn’t you guys do this during the time jump instead ? Lmao,False,en,1,0,2021-03-03 23:19:47,1367253401210396684,0.113,0.668,0.219,0.4696
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-03 22:16:23,1367237446274928641,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-03 21:55:08,1367232095299502082,0.0,0.828,0.172,0.5461
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,745,2021-03-03 21:36:58,1367227526519664641,0.0,0.828,0.172,0.5461
my favorite thing about watching riverdale has always been listening to the podcasts ab the eps after but ever since the time jump they just stress me out bc i can’t stand hearing any type of barchie slander. so what do i do now...,False,en,36,0,2021-03-03 20:51:38,1367216114808291337,0.081,0.875,0.044,-0.4019
I’m down for this new time jump on Riverdale @CW_Riverdale,False,en,0,0,2021-03-03 20:20:06,1367208181198430209,0.0,1.0,0.0,0.0
