tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,556,2021-02-27 04:39:18,1365521868258697223,"['vote', 'riverdale', 'time', 'jump', 'archie', 'amp', 'betty', 'like', 'archie', 'amp', 'veronica', 'barchie', 'riverdale', 'varchie']",vote riverdale time jump archie amp betty like archie amp veronica barchie riverdale varchie
"RT @TheWyrmQueen: Toni Topaz 

-Riverdale rp
-Literate/Descriptive
-Mature themes
-Post time jump
-Ship with Chemistry 
-21+

#riverdalerp…",False,en,0,35,2021-02-27 04:30:32,1365519661350191104,"['toni', 'topaz', 'riverdale', 'rp', 'literate', 'descriptive', 'mature', 'themes', 'post', 'time', 'jump', 'ship', 'chemistry', '21', 'riverdalerp']",toni topaz riverdale rp literate descriptive mature themes post time jump ship chemistry 21 riverdalerp
"RT @BusinessOfLodge: Veronica Lodge 

literate/descriptive. canon portrayal of veronica lodge. pre and time jump. seeking mains &amp; storyline…",False,en,0,8,2021-02-27 04:23:01,1365517770352435200,"['veronica', 'lodge', 'literate', 'descriptive', 'canon', 'portrayal', 'veronica', 'lodge', 'pre', 'time', 'jump', 'seeking', 'mains', 'amp', 'storyline']",veronica lodge literate descriptive canon portrayal veronica lodge pre time jump seeking mains amp storyline
will I understand Riverdale new season if I only watched season 1 👀 ( I just like the time jump idea),False,en,4,0,2021-02-27 03:07:59,1365498890372456449,"['understand', 'riverdale', 'new', 'season', 'watched', 'season', '1', 'like', 'time', 'jump', 'idea']",understand riverdale new season watched season 1 like time jump idea
"@Twirl4meK @slowburnsftw ""Seven years later..."" Lol. A teen drama or a regular show would get past it... let alone Riverdale doing a time jump, they really thought this would be fully unsolvable 7 years later?",False,en,0,0,2021-02-27 02:22:22,1365487408897265666,"['seven', 'years', 'later', 'lol', 'teen', 'drama', 'regular', 'show', 'would', 'get', 'past', 'let', 'alone', 'riverdale', 'time', 'jump', 'really', 'thought', 'would', 'fully', 'unsolvable', '7', 'years', 'later']",seven years later lol teen drama regular show would get past let alone riverdale time jump really thought would fully unsolvable 7 years later
(1/2) I wish time jump betty was a bad girl like young Alice.After being kidnapped she wouldn't wanna show other people her weekness than she'd hide behind sass and insulting other people just the avoid the truth.#Riverdale https://t.co/TGYOHJpKOL,False,en,1,0,2021-02-27 02:09:21,1365484132621570058,"['1', '2', 'wish', 'time', 'jump', 'betty', 'bad', 'girl', 'like', 'young', 'alice', 'kidnapped', 'wanna', 'show', 'people', 'weekness', 'hide', 'behind', 'sass', 'insulting', 'people', 'avoid', 'truth', 'riverdale']",1 2 wish time jump betty bad girl like young alice kidnapped wanna show people weekness hide behind sass insulting people avoid truth riverdale
"RT @VARCHIEWHORE: riverdale                           the notebook

their relationship is kinda similar we‘ll see how Veronica and Hermione…",False,en,0,2,2021-02-27 01:51:30,1365479641058836483,"['riverdale', 'notebook', 'relationship', 'kinda', 'similar', 'see', 'veronica', 'hermione']",riverdale notebook relationship kinda similar see veronica hermione
"The 7 year time jump on #Riverdale allows the show to be what it always wanted to be. It was always kind of absurd how often the teens were acting like adults before: solving crimes, running businesses, etc. Now they ARE adults and it makes a little more sense. Just a little. 🤏",False,en,1,0,2021-02-27 01:22:54,1365472442702061572,"['7', 'year', 'time', 'jump', 'riverdale', 'allows', 'show', 'always', 'wanted', 'always', 'kind', 'absurd', 'often', 'teens', 'acting', 'like', 'adults', 'solving', 'crimes', 'running', 'businesses', 'etc', 'adults', 'makes', 'little', 'sense', 'little']",7 year time jump riverdale allows show always wanted always kind absurd often teens acting like adults solving crimes running businesses etc adults makes little sense little
Post time jump Riverdale has been my fav! They are doing what they should have since season 2!!!!#Riverdale #RiverdaleSeason5 #Kangs #Choni https://t.co/pKSyQ9ePoP,True,en,4,0,2021-02-27 00:53:32,1365465054125039618,"['post', 'time', 'jump', 'riverdale', 'fav', 'since', 'season', '2', 'riverdale', 'riverdaleseason5', 'kangs', 'choni']",post time jump riverdale fav since season 2 riverdale riverdaleseason5 kangs choni
RT @BugheadUpdates: Time jump Jughead 👀 #Riverdale https://t.co/VTT1zer5Dp,False,en,0,33,2021-02-26 23:41:49,1365447004848013316,"['time', 'jump', 'jughead', 'riverdale']",time jump jughead riverdale
