tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos
RT @ThatsRiverdale: Best part abt fwb between barchie is that its untraditional in the sense that they’re going into this arrangement with…,False,en,0,1,2021-03-03 01:11:39,1366919164384800770,"['best', 'part', 'abt', 'fwb', 'barchie', 'untraditional', 'sense', 'going', 'arrangement']",rt : best part abt fwb between barchie is that its untraditional in the sense that they’re going into this arrangement with…,0.0,0.0,1.0
RT @barchiewalker: NO BUT HE IS LITERALLY SLIDING HIS HAND FROM HER THIGH TO HER BUTT- 😳😳👁👄👁🤯😍  #barchie FUCKING CRAZY BUT I LOVE IT https:…,False,en,0,1,2021-03-03 01:10:48,1366918949355606021,"['literally', 'sliding', 'hand', 'thigh', 'butt', 'barchie', 'fucking', 'crazy', 'love']",rt : no but he is literally sliding his hand from her thigh to her butt- :flushed face::flushed face::eye::mouth::eye::exploding head::smiling face with heart-eyes:  barchie fucking crazy but i love it https:…,0.041666666666666664,0.0,0.9583333333333334
RT @archiebstty: riverdale promoting barchie once again ❤️ https://t.co/02oN13RwBu,False,en,0,46,2021-03-03 01:08:38,1366918403026542595,"['riverdale', 'promoting', 'barchie']",rt : riverdale promoting barchie once again :red heart: ,0.0,0.0,1.0
@barcheated @michonnesconnie barchie nace slowburn excellence mmhmm,False,en,2,0,2021-03-03 01:08:22,1366918338207711235,"['barchie', 'nace', 'slowburn', 'excellence', 'mmhmm']",  barchie nace slowburn excellence mmhmm,0.0,0.0,1.0
RT @barchie247: Imagine varchie kisses and Archie pulls away and says Ronnie I love Betty- https://t.co/Qr3kd5eam8,False,en,0,1,2021-03-03 01:08:17,1366918318834126848,"['imagine', 'varchie', 'kisses', 'archie', 'pulls', 'away', 'says', 'ronnie', 'love', 'betty']",rt : imagine varchie kisses and archie pulls away and says ronnie i love betty- ,0.07142857142857142,0.0,0.9285714285714286
Best part abt fwb between barchie is that its untraditional in the sense that they’re going into this arrangement with intense feelings already there!This isn’t a story about whether or not they’ll develop feelings but who will own up to them first?Or will they keep running away? https://t.co/Fii9DfSFlX,False,en,1,1,2021-03-03 01:08:05,1366918266048966658,"['best', 'part', 'abt', 'fwb', 'barchie', 'untraditional', 'sense', 'going', 'arrangement', 'intense', 'feelings', 'already', 'story', 'whether', 'develop', 'feelings', 'first', 'keep', 'running', 'away']",best part abt fwb between barchie is that its untraditional in the sense that they’re going into this arrangement with intense feelings already there!this isn’t a story about whether or not they’ll develop feelings but who will own up to them first?or will they keep running away? ,0.0,0.0,1.0
I do love barchie but they’ve had more sex scene than Choni in only 2 episodes https://t.co/e27Jh66cxh,True,en,0,0,2021-03-03 01:07:25,1366918098352275462,"['love', 'barchie', 'sex', 'scene', 'choni', '2', 'episodes']",i do love barchie but they’ve had more sex scene than choni in only 2 episodes ,0.0625,0.0,0.9375
"Ugh the way Archie was looking at Betty and the memory flashes plus the kiss.. yooo!😆🥲
#Barchie
#Riverdale https://t.co/XonSAMZcXu",False,en,0,0,2021-03-03 01:00:52,1366916451857129474,"['ugh', 'way', 'archie', 'looking', 'betty', 'memory', 'flashes', 'plus', 'kiss', 'yooo', 'barchie', 'riverdale']","ugh the way archie was looking at betty and the memory flashes plus the kiss.. yooo!:grinning squinting face::smiling face with tear:
barchie
riverdale ",0.0,0.0,1.0
@jaceyskeene Giving barchie https://t.co/cVQLsADP73,False,en,1,0,2021-03-03 00:57:03,1366915491302891520,"['giving', 'barchie']", giving barchie ,0.0,0.0,1.0
RT @jaceyskeene: barchie is rising and bugvarchie are bones i need y’all to understand this,False,en,0,2,2021-03-03 00:55:47,1366915170400940038,"['barchie', 'rising', 'bugvarchie', 'bones', 'need', 'understand']",rt : barchie is rising and bugvarchie are bones i need y’all to understand this,0.0,0.0,1.0
