tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos
"RT @bettyandarchie4: If you are worried about barchie only being set up because they are gonna do varchie exes to lovers , read this!! http…",False,en,0,1,2021-02-27 05:19:52,1365532079258222592,"['worried', 'barchie', 'set', 'gonna', 'varchie', 'exes', 'lovers', 'read']","rt : if you are worried about barchie only being set up because they are gonna do varchie exes to lovers , read this!! http…",0.04,0.00,0.96
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,557,2021-02-27 05:07:56,1365529076820307969,"['vote', 'riverdale', 'time', 'jump', 'archie', 'amp', 'betty', 'like', 'archie', 'amp', 'veronica', 'barchie', 'riverdale', 'varchie']","rt : vote: riverdale time jump! 
retweet: archie &amp; betty 
like: archie &amp; veronica 

barchie riverdale varchie ",0.00,0.00,1.00
"RT @vcrchies: COME BACK TO ME, VARCHIE. YOUR STORY ISNT OVER YET. https://t.co/LRyowgNrnJ",False,en,0,4,2021-02-27 04:37:46,1365521485029326849,"['come', 'back', 'varchie', 'story', 'isnt', 'yet']","rt : come back to me, varchie. your story isnt over yet. ",0.00,0.00,1.00
"I'm rewatching some #bughead scenes and I'm kinda very soft for it??? Ugh now I genuinely can't pick which ship I prefer

Actually, I think I'd be happy with either barchie or bughead. I guess is all I really don't want is for it to end with only varchie, which I'm not down for",False,en,0,0,2021-02-27 04:37:29,1365521413990453248,"['rewatching', 'bughead', 'scenes', 'kinda', 'soft', 'ugh', 'genuinely', 'pick', 'ship', 'prefer', 'actually', 'think', 'happy', 'either', 'barchie', 'bughead', 'guess', 'really', 'want', 'end', 'varchie']","i'm rewatching some bughead scenes and i'm kinda very soft for it??? ugh now i genuinely can't pick which ship i prefer

actually, i think i'd be happy with either barchie or bughead. i guess is all i really don't want is for it to end with only varchie, which i'm not down for",0.02,0.00,0.98
RT @winchesterbitxh: barchie has more chemistry in 2 episodes than varchie had in 5 seasons,False,en,0,44,2021-02-27 04:18:10,1365516550984376320,"['barchie', 'chemistry', '2', 'episodes', 'varchie', '5', 'seasons']",rt : barchie has more chemistry in 2 episodes than varchie had in 5 seasons,0.00,0.00,1.00
RT @barchiesdreams: just a little thread of how you shouldn’t worry about varchie or bughead &lt;3,False,en,0,15,2021-02-27 04:14:57,1365515740988596225,"['little', 'thread', 'worry', 'varchie', 'bughead', 'lt', '3']",rt : just a little thread of how you shouldn’t worry about varchie or bughead &lt;3,0.00,0.00,1.00
RT @speaksza: varchie’s emotional connection equates to those talks with the counselor in elementary school whenever you started crying in…,False,en,0,13,2021-02-27 03:51:46,1365509905814347778,"['varchie', 'emotional', 'connection', 'equates', 'talks', 'counselor', 'elementary', 'school', 'whenever', 'started', 'crying']",rt : varchie’s emotional connection equates to those talks with the counselor in elementary school whenever you started crying in…,0.00,0.00,1.00
RT @veronnicslodge: maybe varchie captain mary andrews could be veronica's divorce lawyer 😌,False,en,0,6,2021-02-27 03:50:49,1365509668789919748,"['maybe', 'varchie', 'captain', 'mary', 'andrews', 'could', 'veronica', 'divorce', 'lawyer']",rt : maybe varchie captain mary andrews could be veronica's divorce lawyer :relieved face:,0.00,0.00,1.00
"RT @mybarchie: one more thing, when barchie gets in a confirmed relationship THEN we can start comparing and contrasting to varchie and bug…",False,en,0,9,2021-02-27 03:46:50,1365508664140914695,"['one', 'thing', 'barchie', 'gets', 'confirmed', 'relationship', 'start', 'comparing', 'contrasting', 'varchie', 'bug']","rt : one more thing, when barchie gets in a confirmed relationship then we can start comparing and contrasting to varchie and bug…",0.00,0.00,1.00
RT @RiverdaleDark: #Barchie is rising but maybe so is... #Varchie? We recap everything from the latest episode of #Riverdale on our podcast…,False,en,0,2,2021-02-27 03:38:04,1365506461128929281,"['barchie', 'rising', 'maybe', 'varchie', 'recap', 'everything', 'latest', 'episode', 'riverdale', 'podcast']",rt : barchie is rising but maybe so is... varchie? we recap everything from the latest episode of riverdale on our podcast…,0.00,0.05,0.95
