tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,polarity,subjectivity
"RT @nabrinas: a thread of every barchie kiss 🥰
 https://t.co/H8p1UDdQdZ",False,en,0,69,2021-02-27 05:13:08,1365530382691487751,"['thread', 'every', 'barchie', 'kiss']",thread every barchie kiss,0.0,0.0
"RT @barchie_gifs: The forehead touch 🥺
[5.06 - Chapter Eighty-Two: Back To School]
@lilireinhart @RiverdaleWriter @WriterRAS
#Barchie #Rive…",False,en,0,40,2021-02-27 05:12:48,1365530301288640512,"['forehead', 'touch', '5', '06', 'chapter', 'eighty', 'two', 'back', 'school', 'barchie', 'rive']",forehead touch 5 06 chapter eighty two back school barchie rive,0.0,0.0
"RT @bossbex1: Betty's face when she's ""disappointed"" that Jughead's not home. #barchie https://t.co/lJfHqd8egG",False,en,0,10,2021-02-27 05:09:31,1365529473567760386,"['betty', 'face', 'disappointed', 'jughead', 'home', 'barchie']",betty face disappointed jughead home barchie,-0.75,0.75
this is going to be barchie when glenn and veronica come into the picture https://t.co/TVdY5A1kEw,True,en,0,0,2021-02-27 05:09:28,1365529460213092353,"['going', 'barchie', 'glenn', 'veronica', 'come', 'picture']",going barchie glenn veronica come picture,0.0,0.0
being a barchie girl is a marginalized identity,False,en,0,0,2021-02-27 05:08:49,1365529297822179329,"['barchie', 'girl', 'marginalized', 'identity']",barchie girl marginalized identity,0.0,0.0
"RT @SuperheroTVcom: VOTE: Riverdale Time Jump! 
RETWEET: Archie &amp; Betty 
LIKE: Archie &amp; Veronica 

#barchie #riverdale #varchie https://t.c…",False,en,0,557,2021-02-27 05:07:56,1365529076820307969,"['vote', 'riverdale', 'time', 'jump', 'archie', 'amp', 'betty', 'like', 'archie', 'amp', 'veronica', 'barchie', 'riverdale', 'varchie']",vote riverdale time jump archie amp betty like archie amp veronica barchie riverdale varchie,0.0,0.0
RT @laylasblair: #BARCHIE : maybe i can distract you... *sexual tension* https://t.co/01vpucXTEN,False,en,0,36,2021-02-27 05:07:36,1365528991080189953,"['barchie', 'maybe', 'distract', 'sexual', 'tension']",barchie maybe distract sexual tension,0.5,0.8333333333333334
FORGOT THERE WAS MORE THAN ONE BARCHIE KISS IN THE EPISODE,False,en,0,0,2021-02-27 05:06:22,1365528679351205889,"['forgot', 'one', 'barchie', 'kiss', 'episode']",forgot one barchie kiss episode,0.5,0.5
barchie gives me butterflies,False,en,1,0,2021-02-27 05:03:50,1365528042270060544,"['barchie', 'gives', 'butterflies']",barchie gives butterflies,0.0,0.0
"@JuliDG Delena, Leyton and Barchie my otps ♥️",False,en,0,0,2021-02-27 05:03:03,1365527845255090179,"['delena', 'leyton', 'barchie', 'otps']",delena leyton barchie otps,0.0,0.0
"RT @barchidale: barchie got the shower scene first &gt; fast and rough
then the car scene &gt; slow and sensual
then the porch kiss and post sex…",False,en,0,23,2021-02-27 05:01:42,1365527506212646912,"['barchie', 'got', 'shower', 'scene', 'first', 'gt', 'fast', 'rough', 'car', 'scene', 'gt', 'slow', 'sensual', 'porch', 'kiss', 'post', 'sex']",barchie got shower scene first gt fast rough car scene gt slow sensual porch kiss post sex,0.012499999999999983,0.43333333333333335
RT @Recap_Rewind: And yes we changed the thumbnail due to popular demand because...#Barchie,False,en,0,2,2021-02-27 05:01:14,1365527388067569664,"['yes', 'changed', 'thumbnail', 'due', 'popular', 'demand', 'barchie']",yes changed thumbnail due popular demand barchie,0.2375,0.6375
"Are we gonna sit here pretending Agatha never appeared to buy Cheryl's paint?? @WriterRAS explain those Greendale hints and make a crossover episode with @sabrinanetflix already!!
#Riverdale #RiverdaleSeason5 #bughead #Barchie #ChillingAdventuresofSabrina",False,en,0,0,2021-02-27 05:00:32,1365527214578692096,"['gonna', 'sit', 'pretending', 'agatha', 'never', 'appeared', 'buy', 'cheryl', 'paint', 'explain', 'greendale', 'hints', 'make', 'crossover', 'episode', 'already', 'riverdale', 'riverdaleseason5', 'bughead', 'barchie', 'chillingadventuresofsabrina']",gonna sit pretending agatha never appeared buy cheryl paint explain greendale hints make crossover episode already riverdale riverdaleseason5 bughead barchie chillingadventuresofsabrina,0.0,0.0
RT @BarchieUpdates: Rachel Talalay directed the episode? And I’m getting both Barchie and Choni on march 17??? AAAAAAA https://t.co/eq3rO8F…,False,en,0,30,2021-02-27 04:58:47,1365526773782302722,"['rachel', 'talalay', 'directed', 'episode', 'getting', 'barchie', 'choni', 'march', '17', 'aaaaaaa']",rachel talalay directed episode getting barchie choni march 17 aaaaaaa,0.0,0.0
RT @barcheated: How to connect this to barchie. https://t.co/J2nNYEeq3P,False,en,0,4,2021-02-27 04:58:19,1365526653674262529,"['connect', 'barchie']",connect barchie,0.0,0.0
i got fed so well with nabrina but my barchie experience is the polar opposite it’s just sickening,False,en,1,0,2021-02-27 04:57:54,1365526549907312640,"['got', 'fed', 'well', 'nabrina', 'barchie', 'experience', 'polar', 'opposite', 'sickening']",got fed well nabrina barchie experience polar opposite sickening,-0.3277777777777778,0.4166666666666667
RT @archielizabeths: barchie’s storyline is their own sorry they don’t have to talk about the 47 murder mysteries they’ve solved just so th…,False,en,0,62,2021-02-27 04:57:37,1365526480101519361,"['barchie', 'storyline', 'sorry', 'talk', '47', 'murder', 'mysteries', 'solved', 'th']",barchie storyline sorry talk 47 murder mysteries solved th,0.04999999999999999,1.0
"RT @slowburnsftw: show us the barchie promotional image, i know it exists @CW_Riverdale",False,en,0,2,2021-02-27 04:57:27,1365526435201392642,"['show', 'us', 'barchie', 'promotional', 'image', 'know', 'exists']",show us barchie promotional image know exists,0.0,0.0
